SEQID	MAX	BHLHE40	ATF3	CEBPB	MAFK	FOSL2	NFE2L2	JUND
5:43066923-43067023	6.056e-07	2.428e-07	1.065e-08	6.959e-10	6.22e-12	3.509e-10	7.344e-14	1.833e-17
15:67050126-67050226	1.7e-05	1.552e-10	1.517e-11	1.619e-14	1.17e-09	1.165e-15	1.265e-15	6.497e-22
1:8370720-8370820	3.47e-09	6.262e-11	9.177e-09	1.807e-11	3.83e-09	1.037e-13	9.167e-12	1.398e-18
17:57531764-57531864	5.285e-09	2.753e-10	2.141e-09	3.304e-09	1.26e-14	2.616e-14	1.86e-12	7.477e-17
21:36461990-36462090	8.723e-07	2.924e-08	6.218e-10	2.008e-10	2.097e-09	7.538e-10	2.85e-11	3.423e-13
12:53054441-53054541	3.841e-09	4.419e-10	0.0003346	2.253e-08	1.422e-10	2.391e-12	1.045e-11	1.037e-13
2:97834705-97834805	1.598e-10	9.797e-12	1.069e-08	2.131e-07	1.63e-06	9.493e-14	1.029e-12	1.696e-15
20:15343224-15343324	2.6e-10	2.259e-11	7.98e-09	2.538e-07	8.823e-09	2.51e-13	1.554e-13	1.127e-17
5:74877785-74877885	2.028e-08	1.622e-09	7.295e-10	1.961e-09	2.07e-07	5.976e-14	2.439e-11	3.378e-16
16:84737378-84737478	3.188e-09	1.36e-10	3.179e-11	5.305e-08	2.529e-12	2.888e-10	1.516e-10	4.955e-14
9:27531490-27531590	8.422e-10	1.674e-11	4.922e-07	7.41e-07	1.551e-12	2.263e-10	4.31e-06	9.357e-13
9:72988092-72988192	1.517e-10	4.241e-13	6.434e-06	1.743e-06	1.055e-12	9.955e-11	3.644e-11	9.894e-13
2:119431609-119431709	4.644e-08	2.018e-08	1.416e-09	2.904e-13	9.242e-14	5.489e-05	3.281e-10	0.0001046
20:41005541-41005641	2.198e-09	1.808e-10	3.587e-10	3.44e-09	2.332e-08	3.924e-08	1.368e-11	8.615e-16
10:93023033-93023133	2.731e-11	8.681e-13	3.758e-09	7.779e-12	3.932e-10	9.843e-11	3.749e-12	3.978e-16
20:55880581-55880681	1.881e-09	1.443e-11	9.504e-09	3.937e-08	2.452e-12	1.54e-15	4.777e-14	3.693e-17
7:101390936-101391036	1.841e-09	3.984e-09	3.735e-11	3.969e-12	3.173e-13	3.662e-14	1.395e-13	4.829e-23
3:12193609-12193709	1.355e-07	4.619e-10	6.878e-08	9.243e-09	2.173e-08	0.001755	1.017e-05	0.0008096
12:15886914-15887014	9.751e-11	2.826e-12	6.424e-11	2.094e-10	1.09e-10	2.494e-13	2.81e-12	8.926e-19
4:37936992-37937092	9.771e-10	1.647e-09	1.114e-09	6.14e-06	3.405e-13	7.323e-13	6.706e-12	8.031e-17
2:216135027-216135127	8.441e-11	9.12e-13	2.878e-07	1.627e-05	3.149e-11	6.86e-10	1.558e-10	9.738e-13
16:68889819-68889919	6.661e-10	4.866e-11	7.396e-10	2.422e-09	6.493e-12	8.499e-10	1.22e-14	1.765e-18
1:67741313-67741413	5.286e-06	1.076e-07	2.198e-09	6.234e-06	5.22e-12	3.591e-13	2.803e-11	8.874e-17
1:220681578-220681678	1.164e-08	8.239e-13	1.38e-12	1.608e-11	3.733e-19	1.134e-14	1.691e-17	9.245e-19
1:114457850-114457950	6.295e-11	1.867e-11	2.17e-09	6.295e-08	2.175e-14	3.044e-15	9.886e-12	1.224e-22
3:79405243-79405343	1.807e-09	6.578e-11	1.117e-10	6.965e-05	7.825e-11	3.373e-11	6.563e-12	2.991e-17
5:134645878-134645978	1.724e-12	1.171e-15	2.66e-11	2.538e-12	7.063e-19	8.233e-18	1.452e-13	1.917e-22
1:233244398-233244498	4.399e-08	1.127e-11	2.304e-11	1.359e-09	7.056e-15	9.703e-14	1.56e-13	4.113e-17
X:140944856-140944956	1.705e-11	5.216e-11	6.711e-11	8.744e-05	1.367e-13	9.542e-15	2.724e-13	1.599e-18
17:43410923-43411023	1.301e-10	3.62e-12	6.505e-09	9.379e-12	3.489e-07	7.408e-13	2.944e-11	7.805e-16
13:67224303-67224403	8.044e-13	1.034e-09	8.615e-11	1.526e-09	1.369e-11	9.667e-16	4.334e-13	9.487e-20
12:76915770-76915870	2.598e-08	1.638e-09	1.923e-10	6.483e-11	1.325e-07	1.789e-15	5.003e-13	2.248e-22
6:145148511-145148611	3.526e-11	2.508e-10	2.458e-12	9.245e-12	9.045e-11	1.633e-16	8.615e-15	6.15e-22
7:111754191-111754291	1.75e-08	7.284e-12	2.654e-06	1.59e-07	0.000121	1.783e-13	3.761e-12	2.931e-17
2:38784620-38784720	2.697e-11	2.242e-11	2.729e-09	1.9e-05	4.16e-09	5.034e-08	4.106e-12	3.852e-10
1:94319300-94319400	1.648e-10	1.062e-11	5.556e-10	1.026e-12	2.015e-14	1.547e-10	2.422e-12	1.665e-17
15:80170746-80170846	1.648e-10	1.062e-11	5.556e-10	1.026e-12	2.015e-14	1.547e-10	2.422e-12	1.665e-17
7:117047764-117047864	5.684e-09	5.375e-11	6.389e-06	4.191e-06	4.027e-10	1.285e-12	1.948e-09	4.988e-17
15:71396824-71396924	5.695e-09	1.543e-09	1.024e-06	1.949e-05	9.195e-13	1.524e-09	9.627e-12	4.046e-16
15:51737977-51738077	9.006e-11	7.644e-11	4.507e-13	5.52e-11	1.985e-16	7.278e-14	2.115e-12	4.867e-17
8:92758473-92758573	1.86e-06	1.567e-07	1.078e-06	9.975e-11	7.1e-09	0.003253	0.0003731	0.002812
6:154491773-154491873	1.796e-08	1.218e-10	2.731e-09	0.0003694	3.41e-12	4.423e-10	2.679e-12	2.17e-13
19:35380594-35380694	2.162e-05	1.091e-08	3.333e-07	3.567e-07	2.03e-10	2.322e-15	1.115e-12	2.405e-17
2:135204086-135204186	1.129e-08	4.365e-09	1.277e-07	9.602e-10	4.582e-07	1.729e-08	4.553e-10	4.705e-09
1:15559519-15559619	1.675e-09	3.81e-09	1.768e-07	7.69e-08	3.461e-11	6.946e-12	3.595e-08	9.146e-15
19:8459663-8459763	2.488e-09	1.631e-10	2.226e-09	4.089e-10	6.481e-15	1.024e-10	8.41e-13	4.71e-12
6:25833341-25833441	1.947e-05	6.684e-10	1.416e-10	1.309e-07	0.0001351	1.071e-13	3.857e-11	2.201e-17
6:100487865-100487965	5.4e-08	6.042e-08	9.156e-09	8.061e-12	6.182e-09	3.584e-14	1.593e-12	1.306e-17
5:141668816-141668916	1.652e-08	1.72e-08	2.472e-08	5.203e-14	5.232e-14	2.429e-15	2.518e-11	5.028e-22
5:54834587-54834687	5.648e-07	4.312e-09	3.733e-08	0.0005462	2.273e-05	1.551e-12	5.24e-10	6.625e-18
15:73190586-73190686	2.661e-10	5.505e-12	1.704e-09	4.718e-10	4.301e-12	1.302e-05	3.419e-11	1.361e-06
3:16090295-16090395	7.664e-10	2.112e-10	1.246e-07	1.789e-09	1.794e-09	0.001825	1.089e-10	0.003056
11:59754238-59754338	1.846e-05	3.42e-07	1.679e-07	3.413e-10	3.39e-09	2.394e-13	8.258e-12	1.557e-19
5:73655199-73655299	1.901e-08	1.668e-10	1.081e-06	0.0002182	3.738e-12	9.738e-08	2.718e-09	1.807e-12
1:222814673-222814773	1.515e-08	3.352e-09	2.065e-05	7.392e-10	1.147e-08	0.005391	3.732e-07	0.00117
2:46965192-46965292	7.421e-08	2.085e-09	2.731e-07	3.773e-11	2.796e-08	3.421e-11	4.294e-11	7.926e-14
4:139243698-139243798	4.119e-13	1.635e-12	1.161e-08	1.129e-14	6.328e-12	1.381e-16	1.616e-13	1.997e-19
13:30465977-30466077	3.544e-07	1.494e-08	0.002489	1.963e-09	8.157e-09	1.826e-12	8.613e-10	7.422e-17
4:155000033-155000133	6.214e-09	8.222e-11	5.41e-11	3.715e-07	3.546e-12	2.004e-12	1.004e-14	2.665e-14
15:57560072-57560172	2.556e-07	1.262e-09	2.6e-08	6.096e-10	3.331e-11	2.956e-14	1.426e-11	2.64e-21
8:27490743-27490843	1.509e-10	1.443e-08	1.675e-11	1.21e-12	1.965e-09	9.656e-15	1.266e-12	8.993e-18
12:102850246-102850346	7.28e-12	2.545e-11	9.305e-08	1.136e-10	4.524e-13	1.867e-15	1.228e-12	1.885e-18
1:65163248-65163348	2.51e-16	9.206e-16	1.906e-13	4.37e-12	4.524e-13	1.863e-22	1.228e-12	4.031e-30
9:114602793-114602893	2.428e-09	1.842e-12	2.844e-08	7.944e-14	2.568e-13	4.648e-14	1.468e-11	1.274e-16
4:38209787-38209887	1.661e-09	1.134e-12	1.329e-09	4.246e-07	3.691e-11	1.493e-09	2.358e-10	2.744e-11
15:89803979-89804079	1.778e-09	1.602e-11	1.588e-09	2.685e-11	1.542e-10	2.082e-10	4.443e-11	2.431e-16
2:219125450-219125550	1.02e-07	2.921e-10	3.033e-06	0.0001737	3.749e-15	1.014e-08	3.643e-12	5.536e-16
22:28410529-28410629	1.1e-08	2.822e-09	1.115e-07	2.216e-11	6.259e-08	6.196e-10	1.658e-10	3.396e-12
12:72279061-72279161	8.005e-08	5.183e-12	4.973e-12	1.791e-05	1.982e-11	3.355e-15	5.16e-13	4.227e-18
2:183026542-183026642	4.119e-11	1.114e-13	2.223e-10	2.911e-08	4.117e-12	2.382e-12	1.852e-12	1.486e-17
12:94637810-94637910	3.287e-09	1.142e-10	1.072e-10	6.979e-05	2.756e-09	1.343e-10	1.051e-11	1.136e-13
1:39157684-39157784	1.422e-17	1.396e-16	1.95e-15	1.145e-16	2.756e-09	6.719e-21	1.051e-11	1.136e-13
8:27872624-27872724	1.393e-09	4.761e-12	1.99e-08	0.0002309	3.825e-08	1.17e-11	6.439e-11	1.831e-15
1:97499824-97499924	1.293e-07	1.749e-11	2.265e-09	6.965e-05	2.914e-11	1.544e-11	5.52e-11	1.065e-15
3:100521580-100521680	1.655e-08	1.023e-07	9.6e-06	3.626e-08	9.154e-13	9.985e-13	9.478e-09	1.836e-18
13:52652691-52652791	1.054e-08	2.106e-09	9.139e-10	6.963e-12	4.37e-13	9.562e-13	4.754e-13	2.255e-17
8:27766277-27766377	5.622e-06	2.779e-09	2.369e-09	3.345e-10	3.374e-14	1.979e-13	6.845e-12	1.59e-17
10:26737925-26738025	1.546e-05	3.383e-08	1.151e-07	6.278e-07	2.91e-12	3.257e-08	1.37e-07	1.508e-09
9:109010815-109010915	1.72e-11	2.139e-13	1.728e-05	5.69e-09	9.183e-05	0.003288	0.0006006	0.002451
20:50513820-50513920	1.886e-11	1.218e-11	1.078e-06	2.114e-08	2.681e-16	0.001935	6.746e-09	0.002072
1:200290112-200290212	4.901e-18	1.019e-17	1.846e-14	7.978e-19	2.681e-16	5.461e-20	6.746e-09	5.628e-32
6:17865723-17865823	3.955e-08	2.035e-11	2.76e-10	2.846e-09	4.657e-13	4.038e-13	1.414e-12	5.317e-17
19:17112723-17112823	9.75e-09	9.596e-09	3.571e-09	1.2e-11	2.962e-10	7.778e-08	2.212e-10	2.732e-10
11:75422557-75422657	4.264e-07	1.135e-06	3.312e-06	1.376e-08	1.19e-10	0.0001375	1.106e-06	3.261e-06
1:89175811-89175911	1.459e-11	2.722e-12	1.626e-09	4.877e-10	2.573e-08	3.591e-07	3.525e-10	2.989e-11
12:42094368-42094468	1.459e-11	2.722e-12	1.626e-09	4.877e-10	2.573e-08	3.591e-07	3.525e-10	2.989e-11
8:22565124-22565224	1.805e-07	4.5e-06	5.493e-11	1.857e-11	1.03e-14	8.435e-12	2.375e-12	1.08e-16
17:70691340-70691440	2.087e-11	5.606e-11	1.83e-07	8.788e-05	2.213e-09	6.107e-13	1.982e-11	2.189e-17
9:128552007-128552107	9.534e-10	8.829e-10	1.183e-09	9.445e-12	3.908e-12	6.58e-12	8.911e-12	3.788e-17
8:53659784-53659884	5.795e-10	2.47e-11	9.593e-06	8.774e-05	2.25e-12	7.233e-14	4.084e-10	7.11e-18
10:78651465-78651565	1.363e-07	3.3e-11	8.122e-09	4.079e-14	2.25e-12	5.964e-22	4.084e-10	1.129e-26
11:129828559-129828659	5.442e-07	1.617e-06	1.84e-09	5.692e-08	0.0004332	2.107e-05	2.129e-06	2.804e-05
1:19505079-19505179	6.034e-10	1.265e-10	4.267e-09	1.542e-07	7.907e-08	0.003252	6.939e-07	0.002017
20:43900270-43900370	1.309e-08	5.204e-10	9.559e-10	1.843e-06	1.94e-07	4.018e-13	6.774e-11	3.211e-17
9:92537194-92537294	2.324e-06	3.249e-09	0.0001662	9.338e-07	7.369e-07	7.755e-08	2.94e-08	7.166e-09
11:67468205-67468305	7.647e-08	6.383e-09	2.536e-10	5.082e-11	3.886e-12	8.708e-05	2.206e-08	1.026e-05
19:13150418-13150518	5.075e-13	2.192e-13	5.392e-10	5.392e-12	4.34e-17	1.87e-11	1.314e-13	4.787e-17
21:37258176-37258276	1.097e-11	1.248e-09	1.593e-12	7.646e-16	3.243e-19	3.106e-13	1.161e-15	4.89e-23
X:39043994-39044094	1.097e-11	1.248e-09	1.593e-12	7.646e-16	3.243e-19	3.106e-13	1.161e-15	4.89e-23
3:100080706-100080806	4.706e-09	8.562e-09	9.531e-10	1.875e-07	4.919e-06	3.116e-10	8.443e-10	7.51e-12
3:114697565-114697665	1.23e-10	4.801e-10	4.561e-08	0.002988	1.127e-12	2.34e-10	2.702e-10	6.768e-18
2:215420705-215420805	2.46e-05	1.697e-06	0.0002316	1.123e-08	1.952e-07	4.454e-12	4.571e-13	9.227e-16
13:46622906-46623006	7.664e-06	1.199e-08	2.484e-08	3.707e-06	1.525e-08	2.186e-10	1.961e-10	2.113e-13
3:152281410-152281510	3.115e-11	9.263e-11	1.375e-09	2.808e-10	1.404e-06	2.834e-14	2.648e-08	5.278e-18
2:234864729-234864829	4.044e-07	9.092e-09	1.812e-11	8.508e-08	1.848e-13	3.369e-11	1.657e-10	5.037e-16
7:110521407-110521507	5.266e-10	1.101e-10	1.646e-08	4.162e-05	1.655e-13	1.183e-07	3.279e-12	1.96e-11
6:16320083-16320183	3.819e-06	1.612e-06	4.48e-10	4.868e-13	3.168e-10	1.891e-10	1.183e-08	4.957e-16
19:45577532-45577632	2.27e-13	4.566e-14	4.247e-11	2.144e-12	1.726e-11	2.409e-15	3.245e-11	4.137e-22
7:112484803-112484903	9.636e-09	5.907e-11	7.466e-06	5.418e-10	6.666e-12	0.005133	4.597e-10	0.003538
13:74131380-74131480	5.419e-09	7.414e-11	3.315e-11	1.224e-10	4.67e-06	1.658e-12	2.916e-12	3.012e-17
16:11575636-11575736	2.9e-08	3.451e-10	9.188e-09	2.346e-13	2.107e-11	3.994e-12	1.405e-14	6.303e-17
2:233603733-233603833	2.931e-11	1.753e-12	1.308e-05	1.155e-05	3.856e-13	2.581e-07	1.143e-10	4.969e-13
16:3401108-3401208	3.031e-09	3.101e-11	5.289e-09	2.304e-12	3.091e-07	2.981e-16	2.534e-11	1.682e-18
15:92831952-92832052	5.624e-05	2.257e-08	1.243e-06	1.3e-09	6.184e-12	2.403e-07	1.861e-11	1.176e-12
11:114304145-114304245	4.6e-10	1.894e-12	2.456e-08	4.221e-07	9.473e-13	1.095e-11	8e-09	1.53e-15
3:63968314-63968414	7.018e-11	4.941e-14	2.83e-07	1.177e-09	0.0004436	3.77e-13	1.943e-14	2.371e-14
18:74367952-74368052	1.772e-08	7.451e-06	8.806e-09	2.518e-05	2.022e-13	8.063e-16	2.992e-12	1.613e-22
11:104944266-104944366	8.127e-12	5.57e-13	5.688e-11	4.851e-07	2.387e-12	6.186e-15	1.596e-12	7.629e-18
6:138598916-138599016	3.426e-07	6.495e-11	3.779e-12	1.422e-07	8.681e-10	9.854e-15	1.834e-08	5.475e-17
1:168399173-168399273	2.028e-08	1.069e-10	2.064e-05	9.907e-10	4.035e-09	0.008832	2.731e-06	0.008286
11:122189418-122189518	2.348e-07	4.902e-10	6.622e-10	4.864e-09	2.928e-10	3.407e-11	1.293e-11	3.505e-17
8:86477902-86478002	2.348e-07	3.992e-21	2.508e-14	4.864e-09	2.928e-10	3.407e-11	1.293e-11	3.505e-17
1:99969639-99969739	1.943e-10	1.739e-10	4.456e-10	3.002e-09	6.376e-12	1.078e-10	6.397e-12	7.002e-14
12:116143563-116143663	2.125e-09	7.261e-10	2.239e-09	1.784e-10	1.009e-06	0.001755	6.025e-06	0.0008096
8:96848063-96848163	1.548e-11	2.566e-11	7.485e-09	1.988e-07	1.008e-11	5.294e-08	2.049e-09	1.051e-15
15:35758003-35758103	9.702e-07	1.01e-08	8.035e-08	1.366e-10	9.583e-13	2.425e-10	4.628e-10	2.893e-11
12:41018113-41018213	1.441e-06	6.833e-07	1.069e-05	5.704e-07	1.989e-11	8.372e-12	4.83e-11	1.186e-12
8:133292880-133292980	3.572e-11	2.507e-11	1.648e-11	4.92e-11	1.526e-12	1.559e-12	1.233e-12	5.084e-20
6:140344637-140344737	5.448e-11	1.383e-13	1.079e-06	1.361e-06	7.873e-11	0.002624	4.633e-10	0.001922
11:28566780-28566880	9.687e-08	1.261e-07	0.0001684	1.558e-10	6.603e-14	0.004589	1.11e-08	0.0002136
18:44959086-44959186	6.911e-07	4.372e-07	1.859e-10	5.748e-06	1.375e-09	3.259e-12	8.703e-09	3.911e-13
6:145115819-145115919	3.85e-10	2.437e-11	2.649e-09	3.67e-10	4.395e-09	4.951e-13	1.058e-08	5.302e-18
22:18980072-18980172	1.017e-10	2.714e-11	6.884e-07	1.499e-09	4.591e-13	2.446e-12	7.905e-07	5.816e-18
4:154472071-154472171	4.919e-08	2.448e-09	4.13e-07	5.932e-09	2.714e-11	3.813e-12	9.236e-11	3.31e-13
5:35083287-35083387	4.751e-09	1.405e-09	2.276e-07	1.023e-09	7.804e-10	1.417e-11	2.519e-12	7.023e-16
11:66609809-66609909	6.539e-10	1.097e-09	2.218e-05	5.033e-07	1.577e-07	8.895e-10	1.497e-11	6.741e-13
2:239296756-239296856	4.785e-09	4.193e-09	7.107e-10	6.897e-08	1.951e-07	8.707e-07	1.752e-10	2.779e-06
5:173642263-173642363	3.185e-11	1.232e-12	4.512e-12	3.345e-14	2.233e-13	9.353e-17	3.925e-11	3.666e-23
16:9379039-9379139	3.22e-13	1.281e-14	8.78e-13	1.053e-15	8.945e-20	9.135e-16	2.291e-13	1.232e-18
11:47765936-47766036	2.102e-09	4.613e-10	2.487e-09	3.297e-10	4.578e-07	5.149e-13	2.823e-12	1.638e-15
4:73589452-73589552	2.218e-08	2.63e-09	9.519e-08	4.4e-07	1.362e-08	1.114e-11	1.76e-10	1.222e-16
17:4958266-4958366	2.218e-08	2.63e-09	9.519e-08	4.4e-07	1.362e-08	1.114e-11	1.76e-10	1.222e-16
4:149409327-149409427	8.863e-09	8.414e-11	1.078e-06	6.491e-10	7.674e-12	0.0008772	3.101e-05	0.0006439
21:17818234-17818334	2.038e-09	4.273e-12	1.161e-05	7.776e-09	2.538e-07	7.767e-15	4.2e-12	1.863e-19
12:39341269-39341369	7.023e-10	4.727e-11	4.137e-07	6.729e-07	3e-12	2.462e-08	1.316e-10	1.241e-09
10:112743284-112743384	5.115e-09	1.338e-10	2.067e-05	2.787e-07	7.462e-09	0.006016	7.341e-08	0.00571
7:76047982-76048082	4.742e-07	5.421e-06	2.743e-09	8.258e-12	9.863e-17	1.277e-13	9.027e-12	1.038e-16
2:192127528-192127628	3.907e-05	5.721e-07	1.083e-06	1.744e-07	1.596e-09	2.327e-10	5.055e-10	2.233e-11
16:28141260-28141360	1.133e-07	1.345e-08	1.148e-05	2.612e-05	5.047e-10	2.915e-08	6.285e-11	2.904e-10
2:171687971-171688071	5.829e-11	8.178e-13	2.204e-06	1.277e-11	2.269e-15	0.005839	1.424e-07	0.003729
8:13478483-13478583	1.178e-11	1.041e-14	5.073e-10	1.745e-11	1.981e-11	4.303e-15	8.473e-14	1.815e-20
12:14775786-14775886	1.037e-09	9.485e-12	2.371e-08	1.546e-05	4.82e-13	1.042e-09	5.384e-14	3.366e-17
17:42964508-42964608	4.578e-09	8.146e-10	0.002489	3.314e-08	1.394e-11	1.558e-12	1.081e-13	6.626e-18
16:58030648-58030748	3.36e-07	7.982e-07	2.828e-07	1.177e-08	6.56e-12	7.259e-13	4.853e-10	4.046e-16
19:13087962-13088062	3.005e-11	2.841e-10	2.063e-09	2.407e-12	6.454e-16	1.941e-13	1.338e-11	1.925e-17
19:13195792-13195892	1.009e-07	2.826e-09	7.805e-05	9.901e-09	1.18e-08	2.6e-09	1.281e-10	1.876e-08
13:113105745-113105845	4.666e-09	1.535e-09	2.964e-07	5.892e-07	9.074e-13	4.531e-13	2.176e-09	1.116e-16
9:125526382-125526482	7.003e-10	6.714e-13	7.733e-06	2.895e-12	3.44e-08	0.000113	1.207e-10	4.101e-05
11:78298585-78298685	5.122e-10	3.195e-10	1.201e-08	2.236e-09	3.598e-13	1.247e-12	5.576e-08	7.212e-18
16:81431367-81431467	1.095e-10	5.649e-12	2.397e-07	3.786e-10	5.42e-06	0.001755	1.093e-05	0.0008096
2:64985728-64985828	7.456e-06	2.177e-08	1.641e-09	6.637e-12	3.168e-10	1.719e-07	1.904e-05	2.041e-10
8:9155420-9155520	2.153e-09	3.826e-11	2.478e-10	5.18e-08	6.07e-08	1.381e-15	4.571e-13	2.161e-18
1:52346783-52346883	7.919e-06	2.237e-07	1.71e-05	3.321e-08	6.133e-11	2.282e-13	5.493e-12	1.719e-17
1:185694234-185694334	6.057e-09	1.504e-11	1.391e-11	3.529e-07	1.635e-12	6.584e-13	3.697e-10	2.258e-17
14:72849346-72849446	2.481e-12	9.099e-13	1.759e-12	1.669e-12	3.827e-10	4.048e-13	4.49e-12	1.013e-16
6:44490346-44490446	1.307e-08	1.109e-09	1.095e-06	1.114e-08	5.458e-10	0.001298	4.438e-08	0.003557
4:184462798-184462898	2.056e-11	2.586e-12	7.385e-10	1.149e-11	2.898e-09	3.509e-10	2.131e-12	1.782e-17
19:15467082-15467182	1.108e-11	2.754e-14	4.234e-09	2.541e-11	0.01634	0.005323	0.0006445	0.002513
5:76493686-76493786	3.679e-18	5.631e-20	2.029e-07	8.08e-16	0.01634	9.628e-30	0.0006445	1.714e-35
13:40343954-40344054	9.972e-12	2.24e-12	1.251e-09	1.017e-07	1.83e-14	4.482e-15	1.148e-12	1.49e-17
5:128038806-128038906	6.182e-08	1.437e-08	1.093e-06	6.151e-08	3.74e-12	0.003694	1.691e-10	0.001989
X:18574764-18574864	2.782e-08	1.093e-08	9.751e-07	2.093e-11	7.948e-13	4.311e-13	5.74e-13	2.78e-22
3:118817902-118818002	2.629e-08	1.431e-10	1.082e-08	2.889e-07	3.073e-15	3.461e-13	6.116e-13	1.02e-17
3:148735698-148735798	1.053e-08	1.679e-08	4.272e-10	7.737e-06	2.007e-12	2.05e-10	2.003e-09	1.162e-15
7:137696123-137696223	8.524e-11	7.751e-13	5.955e-12	9.734e-09	8.042e-16	9.849e-13	1.984e-12	6.633e-17
9:130433877-130433977	1.647e-11	2.486e-10	2.501e-12	4.329e-15	6.781e-16	3.705e-15	2.793e-12	4.604e-19
18:26920729-26920829	2.441e-05	1.212e-08	1.732e-09	2.318e-07	4.823e-07	1.293e-12	3.509e-13	1.056e-17
19:12064598-12064698	1.801e-11	9.144e-12	1.496e-08	1.436e-11	4.278e-11	3.427e-09	1.578e-09	8.629e-11
1:6960427-6960527	1.957e-10	5.397e-11	1.776e-09	2.471e-12	1.818e-10	9.25e-09	1.625e-10	9.413e-11
17:2511806-2511906	4.292e-09	3.397e-09	1.045e-08	3.6e-09	1.422e-11	4.644e-15	1.555e-12	5.572e-19
X:111354016-111354116	8.693e-12	2.768e-11	5.344e-09	2.584e-09	4.474e-08	6.158e-05	3.691e-07	1.922e-08
9:18756441-18756541	3.09e-12	1.904e-12	3.603e-08	2.091e-05	1.471e-07	4.368e-11	6.834e-10	2.483e-14
2:69437462-69437562	3.901e-11	3.638e-11	8.977e-14	1.672e-14	1.586e-12	1.766e-17	7.212e-14	5.58e-24
3:167734975-167735075	5.868e-08	2.337e-12	3.31e-06	7.858e-09	5.158e-12	4.321e-13	4.03e-11	1.623e-15
16:4624422-4624522	1.35e-07	9.681e-10	1.009e-11	2.236e-12	1.201e-13	1.652e-08	3.556e-10	9.113e-11
19:4559781-4559881	0.0005259	1.064e-06	1.149e-07	1.33e-12	2.011e-11	0.0006642	4.92e-06	0.0004153
X:80810033-80810133	5.369e-10	5.549e-11	6.827e-07	3.529e-11	4.116e-12	1.9e-13	1.411e-09	1.647e-16
8:121642360-121642460	3.467e-11	9.928e-12	1.737e-06	3.675e-12	2.425e-07	1.53e-10	4.836e-11	1.695e-12
15:80489181-80489281	2.722e-05	8.594e-09	1.903e-05	9.237e-08	2.067e-08	0.001648	9.608e-09	0.0002735
1:31445153-31445253	4.321e-08	7.502e-10	1.477e-09	0.0001537	4.254e-12	1.786e-10	3.278e-11	9.416e-11
4:154612995-154613095	1.498e-07	2.191e-07	3.949e-10	5.558e-09	5.15e-07	8.768e-10	4.041e-11	2.715e-12
15:56732784-56732884	5.057e-07	3.672e-09	7.897e-11	1.004e-10	1.95e-10	6.777e-13	2.491e-11	2.09e-14
9:72527548-72527648	1.573e-09	1.688e-08	1.149e-07	3.606e-13	1.696e-10	0.002066	6.873e-10	0.000942
22:29270631-29270731	2.885e-10	5.351e-10	2.46e-07	7.886e-06	4.23e-11	1.947e-10	3.286e-11	2.648e-12
7:40986594-40986694	2.577e-07	6.398e-09	3.023e-07	8.752e-08	1.15e-10	1.026e-10	2.469e-12	1.946e-11
7:70830633-70830733	2.577e-07	3.132e-17	9.609e-20	8.752e-08	1.15e-10	1.026e-10	2.469e-12	1.946e-11
2:157810163-157810263	1.125e-06	3.627e-09	9.001e-08	1.778e-05	5.042e-10	1.214e-11	2.25e-09	8.837e-15
12:7127975-7128075	1.502e-09	2.789e-09	7.476e-11	2.638e-14	3.181e-12	3.567e-14	6.097e-13	1.278e-17
14:69937463-69937563	5.824e-09	7.249e-09	7.302e-10	1.892e-10	1.137e-12	7.989e-13	6.255e-12	8.482e-18
17:9360774-9360874	3.207e-09	8.401e-12	2.806e-07	3.123e-12	1.414e-11	0.001153	3.962e-11	0.0001044
6:22513707-22513807	1.541e-10	3.996e-08	1.597e-07	1.721e-11	2.059e-08	2.311e-11	4.566e-10	5.651e-17
9:34352330-34352430	5.274e-07	7.1e-09	7.461e-10	6.861e-11	1.064e-12	3.326e-14	2.827e-10	5.865e-19
14:81449271-81449371	1.511e-05	1.749e-06	1.692e-09	3.423e-06	6.115e-12	2.836e-10	1.306e-12	1.535e-15
10:74957471-74957571	4.618e-09	1.372e-12	6.748e-09	2.5e-11	4.978e-07	1.955e-12	4.828e-10	7.492e-16
3:139251712-139251812	1.683e-08	5.914e-11	6.407e-11	6.921e-05	3.593e-12	5.547e-13	3.301e-11	2.199e-18
8:125225526-125225626	2.663e-11	8.671e-12	5.571e-13	2.393e-10	2.069e-10	1.071e-13	2.284e-12	4.14e-16
6:20442003-20442103	5.39e-11	1.362e-11	2.899e-08	1.072e-06	1.075e-07	1.306e-11	1.815e-08	1.392e-12
6:50094029-50094129	2.075e-10	7.133e-11	9.118e-09	1.366e-09	1.728e-05	3.122e-11	4.146e-08	4.774e-13
8:68776946-68777046	1.372e-10	4.342e-13	8.103e-10	4.87e-08	1.147e-10	5.683e-11	1.177e-11	7.791e-17
5:42993369-42993469	9.641e-10	1.026e-10	1.313e-07	9.905e-11	4.314e-08	0.002076	6.349e-09	0.003482
7:65762869-65762969	1.547e-06	5.211e-08	2.064e-05	4.973e-12	3.707e-10	6.054e-13	3.987e-12	1.991e-17
2:226540697-226540797	6.43e-08	3.26e-09	7.168e-09	1.72e-09	7.122e-08	3.768e-08	2.091e-11	6.61e-06
2:113185713-113185813	1.525e-07	4.406e-10	1.402e-09	9.279e-13	2.008e-13	2.647e-13	1.645e-10	8.213e-18
